index,product_id,prediction
23400,512yCM8fy8L.jpg,9 centimetre
23401,512yCM8fy8L.jpg,8.6 centimetre
23402,512yOHT6XSL.jpg,100 inch
23403,512yQFoyM9L.jpg,23
23404,512yQFoyM9L.jpg,23 millimetre
23405,512yQFoyM9L.jpg,23 millimetre
23406,512yQqKkvCL.jpg,25 .
23407,512yQqKkvCL.jpg,25 .
23408,512yRrOzNaL.jpg,5 volt
23409,512yabVsQ3L.jpg,10.2 inch
23410,512yamPyjrS.jpg,13 centimetre
23411,512yamPyjrS.jpg,13 centimetre
23412,512yeH9CV7L.jpg,100 gram
23413,512yhJQBkIL.jpg,6.5 centimetre
23414,512yifvtGTL.jpg,16.3 inches
23415,512yifvtGTL.jpg,16.3 inches
23416,512yoA3yz0L.jpg,10 
23417,512yoA3yz0L.jpg,14 .
23418,512z278l3PL.jpg,9.6 centimetre
23419,512zNIUHzoL.jpg,8 centimetre
23420,512zVSL3WhL.jpg,3.5 centimetre
23421,512zefCIjDL.jpg,9.1 centimetre
23422,512zh1JZZGL.jpg,"There is no visible voltage information provided in the image. The focus of the advertisement is on the features and specifications of the work light, such as lumens output, waterproofing, and battery life, rather than electrical details like voltage."
23423,512zhM-+vaL.jpg,350 gram
23424,512zs9xqTEL.jpg,2.4 millimetre
23425,512zs9xqTEL.jpg,34 millimetre
23426,512zzUO-YgL.jpg,95 gram
23427,512zzcxewXL.jpg,35.3 oz(
23428,513+0O8+JuL.jpg,3.6 ounce
23429,513+1vt3UNL.jpg,1.5 centimetre
23430,513+2BbpGHL.jpg,405 millimetre
23431,513+A5WduvL.jpg,8 centimetre
23432,513+A5WduvL.jpg,5.6 inch
23433,513+CPehchL.jpg,17 centimetre
23434,513+Cq5ZTUL.jpg,"The depth of the rug is not directly visible in the provided image. Typically, a rug's depth refers to its thickness or height from one side to the other when it is laid flat on the floor. Since this information is not discernible from the given perspective and without any reference scale for depth, an accurate measurement cannot be determined from the image alone. To obtain the depth of the rug, additional information or a different angle that shows the full dimension of the rug would be necessary."
23435,513+Cq5ZTUL.jpg,4 '
23436,513+Cq5ZTUL.jpg,4 '
23437,513+InvrnoL.jpg,72 centimetre
23438,513+InvrnoL.jpg,72 centimetre
23439,513+KSm3X2L.jpg,"The item_weight is not directly discernible from the provided image. To accurately extract this information, a clear view of the product's weight specifications would be necessary. Since such details are typically found in the product's label or packaging and are not visible in this particular depiction, it cannot be determined from the image alone. For precise data on an object's weight, one would need to refer to the manufacturer's documentation or the actual physical attributes of the item."
23440,513+gtcOzZL.jpg,1
23441,513+luDia5L.jpg,3 ft
23442,513+uwibUoL.jpg,19
23443,513+uwibUoL.jpg,14 inch
23444,513-9guXohL.jpg,1.7 centimetre
23445,513-9guXohL.jpg,10 centimetre
23446,513-FQr8ECL.jpg,12.5 ounce
23447,513-OGhiMgL.jpg,40 centimetre
23448,513-OGhiMgL.jpg,40 centimetre
23449,513-OJ3jl1L.jpg,7.8 inches
23450,513-TlBDKFL.jpg,29
23451,513-TlBDKFL.jpg,22 centimetre
23452,513-YAoAwbL.jpg,7.9 in /
23453,513-YAoAwbL.jpg,13.8 in /
23454,513-dxt5QsL.jpg,23 centimetre
23455,513-dxt5QsL.jpg,23 centimetre
23456,513-eF5c0+L.jpg,35.5 /
23457,513-hSEVPCL.jpg,50 centimetre
23458,513-j+th8-L.jpg,4 ounce
23459,513-kLYKrSL.jpg,80 -
23460,513-knKM+yL.jpg,9.6 inch
23461,513-t1Wv-yL.jpg,5 inch
23462,513-t1Wv-yL.jpg,8 inch
23463,513-unydDQL.jpg,153 centimetre
23464,513-zNHSuXL.jpg,"The depth of the geometric hanging decor is indicated as ""Total height: 5.35"" and ""Side length: 3.35"". However, since there is no direct indication of depth in the provided measurements, we can infer that the depth might be assumed to be equal to the side length for simplicity's sake, which would make it 3.35 units deep."
23465,5130-r6VA5L.jpg,23
23466,5130-r6VA5L.jpg,15 centimetre
23467,51302QkgjVL.jpg,100 pound
23468,51305zhJ5qL.jpg,24 centimetre
23469,51309UW3lCL.jpg,13.5 centimetre
23470,5130Z2Fy8OL.jpg,250
23471,5130Z2Fy8OL.jpg,60 centimetre
23472,51316TVRqnL.jpg,60 watt
23473,51316TVRqnL.jpg,120 volt
23474,51316TVRqnL.jpg,60 kz
23475,5131ES1ca9L.jpg,70 lbs
23476,5131GDDywML.jpg,13 inch
23477,5131GDDywML.jpg,1.5 m
23478,5131UoU76fL.jpg,4.7 in/
23479,5131UoU76fL.jpg,5.1 in/
23480,5131UoU76fL.jpg,4.7 in/
23481,5131V+EMC1L.jpg,2.7 centimetre
23482,5131V+EMC1L.jpg,2.7 centimetre
23483,5131ZCoWM9L.jpg,5.3 centimetre
23484,5131Zl066AL.jpg,4 inch
23485,5131gGrTyJL.jpg,8 inch
23486,5131gGrTyJL.jpg,8 inch
23487,5131gGrTyJL.jpg,8 inch
23488,5131hZH+2zL.jpg,20.4 inch
23489,5131uDLOotL.jpg,600 millimetre
23490,5131uDLOotL.jpg,600 millimetre
23491,5131uYAoiHL.jpg,50 millimetre
23492,5131uYAoiHL.jpg,2 inch
23493,5131uYAoiHL.jpg,50 millimetre
23494,51325ENVzEL.jpg,60 inch
23495,51325ENVzEL.jpg,43
23496,51326KcVcnL.jpg,8.5 centimetre
23497,5132I4J+vBL.jpg,62 centimetre
23498,5132VGJRmJL.jpg,49 centimetre
23499,5132XnP+wpL.jpg,6.5 inch
